,Videocard Name,Price (USD)
830,Intel UHD Graphics 615,
831,Intel UHD Graphics 617,
832,Intel UHD Graphics 620,
833,Intel UHD Graphics 630,
834,Intel UHD Graphics 710,
835,Intel UHD Graphics 730,
836,Intel UHD Graphics 750,
837,Intel UHD Graphics 770,
838,Intel UHD Graphics P630,
839,Intel UHD Graphics P750,
840,Intel US15 Embedded Media and Controller,
841,ION,$229.99*
842,ION LE,
843,M860G with Mobility Radeon 4100,
844,M880G with Mobility Radeon HD 4200,
845,M880G with Mobility Radeon HD 4225,
846,M880G with Mobility Radeon HD 4250,
847,Master X3100 Driver,
848,Matrox C420 LP PCIe x16,
849,Matrox C680 PCIe x16,
850,Matrox C900 PCIe x16,
851,Matrox G200e WDDM 1.2,
852,Matrox G200e WDDM 2.0,
853,Matrox G200eh,
854,Matrox G200eh WDDM 1.2,
855,Matrox G200eh WDDM 2.0,
856,Matrox G200eR,
857,Matrox G200eR WDDM 1.2,
858,Matrox G200eR WDDM 2.0,
859,Matrox G200eW,
860,Matrox G200eW WDDM 1.2,
861,Matrox G200eW3 WDDM 2.0,
862,Matrox LUMA A310,
863,Matrox LUMA A310F,
864,Matrox M9120 PCIe x16,
