Videocard Name,Price (USD)
GeForce GTX 560M,
Radeon HD 8570D + HD 6670 Dual,
Radeon HD 7560D + HD 7600 Dual,
Intel Iris 540,
Quadro FX 5800,274
Radeon 630,
Quadro 2000 D,
Radeon HD 8570D + 6570 Dual,
Radeon HD 7660D + 6670 Dual,
Intel HD P630,
Radeon HD 7560D + HD 6570 Dual,
GeForce GPU,
Radeon R7 + R5 340 Dual,
FirePro 3D V5800,204
Radeon R7 + R7 250 Dual,
Radeon HD 6770,264.99
Radeon HD 8670D + HD 6670 Dual,
GeForce GTX 260,79.99
Radeon HD 7730,232.7
Radeon HD 8790M / R9 M290X,
FirePro 3D V8700,170.07
N16P-GX,
Radeon HD 7660D + 7540D Dual,
Radeon R9 M270X,
Intel HD P530,
GeForce GT 650M,
GeForce GTX 460M,
Radeon HD 7750M,
Radeon R7 +8G,
FirePro V5800,53
Radeon Ryzen 3 5400U,
GeForce GT 640,109.99
GeForce GTX 280,522.78
GeForce 840A,
GeForce GTX 295,159.99
Radeon R7 Opteron X3421,
FireStream 9250,
Barco MXRT 5400,203
Intel Coffee Lake UHD,
Quadro K620M,
Radeon HD 5750,69.99
Radeon R7 250,189.97
Radeon 625,
GeForce 940A,
GeForce GT 745A,
Radeon Ryzen 3 PRO 5450U,
NVS 810,624.99
Radeon HD 8850M / R9 M265X,
Radeon R7 A10-9700E RADEON,
Radeon HD 4850 X2,
Radeon HD 7560D + 6670 Dual,
Radeon R7 + R7 200 Dual,
Radeon R7 FX-9830P RADEON,
Radeon HD 8650G + 7700M Dual,
Radeon HD 7660D + 7500 Dual,
Intel HD 630,
Radeon R7 PRO A12-9800,
Radeon R9 M275,699.99
Radeon R7 430,199.99
Intel UHD 710,
GeForce 940M,
Quadro 2100M,
Radeon HD 7660D + 6570 Dual,
Quadro M500M,
GeForce GT 545,55.59
Radeon R5 PRO A6-9500 2C+6G,
GeForce GTX 850M - MODDED,
GeForce 920MX,
Firepro W4190M,
GeForce 930A,
Quadro K1100M,322.99
MIRRORV3,
Barco MXRT 5450,199.99
Radeon HD 8450G + 8600/8700M Dual,
FirePro M4170,
GeForce 840M,
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",
Mobility Radeon HD 5870,
Radeon HD 7660D + 7670 Dual,
Radeon HD 7520G + 7700M Dual,
GeForce GTX 760A,
Firepro M4100,
GeForce GT 745M,
OPAL XT/GL,
GeForce GTX 850A,
Radeon HD 7670A,
Radeon R7 PRO A8-9600,
Radeon 535,
Radeon R7 A12-9730P RADEON,
Radeon R7 + R7 240 Dual,
Radeon HD 8570D + 6670 Dual,
Radeon R7 M460,
Intel UHD Graphics 620,
Radeon HD 8570D + HD 8570 Dual,
Radeon HD 8600/8700M,
Radeon Vega 3 Mobile,
Radeon R7 + R5 330 Dual,
Quadro K2000M,144.04
Radeon R7 M350,
Quadro 3000M,69.99
Radeon R9 A375,
Intel Iris Pro 5200,
Radeon HD 8670D + R7 240 Dual,
Radeon HD 6700M,
RadeonT R5 430,
Radeon R5 A6-9500E 2C+4G,
GeForce 930M,
Radeon HD 7690M XT,
GeForce 830A,
Radeon HD 6750,79.99
Radeon HD 7690M,
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",
FirePro M4150,
Radeon HD 7660G + HD 7500M/7600M Dual,
Radeon HD 8570D + R7 200 Dual,
Radeon HD 7640G + HD 8750M Dual,
Radeon R5 340,
Radeon HD 8570,98.68
Quadro 2000D,140
Radeon R7 A12-9800 RADEON,
Radeon HD 7560D + 7570 Dual,
Intel HD 530,
Radeon HD 8690M,
Radeon HD 7560D + 7560D Dual,
Radeon R7 A10-7850K,
Quadro FX 4800,204
Radeon R5 A10-9630P 4C+6G,
GeForce 830M,
Radeon R7 A10-9700 RADEON,
FirePro V4900,149.99
Radeon HD 8670D + 8570 Dual,
Radeon HD 8850M,
Radeon R6 A10-9600P 4C+6G,
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,
Radeon R7 M465,
Radeon HD 6770M,
Radeon HD 8570D + R7 240 Dual,
Radeon R7 M270DX,
Radeon R7 PRO A12-8870E,
GeForce GT 645M,
Radeon R7 A10 PRO-7850B,
Radeon R6 Opteron X3418,
Radeon R7 A265,
FirePro W4170M,
Radeon HD 4850,378
Qualcomm Adreno 690 GPU,
Radeon HD 8670D + R7 200 Dual,
Radeon HD 8570 + HD 7660D Dual,
Radeon R7 A8-7500,
Quadro CX,149.95
Radeon R7 M260X,
Radeon HD 6670/7670,
Radeon HD 7640G + 7690M Dual,
Radeon 530,
Radeon R7 PRO A10-8850B,
zxcvIntel HD 620,
Quadro 2000,213.23
Radeon HD 7660D + R7 240 Dual,
Radeon R7 A12-9800E RADEON,139.19
Radeon R7 PRO A12-9800E,
Radeon R5 430,59
Radeon HD 6750M,
Radeon HD 7560D + HD 8570 Dual,
Radeon R7 PRO A10-9700E,529
Radeon HD 7660G + 7730M Dual,
Radeon R7 340,
Radeon R7 PRO A10-8770,
Radeon R7 240 + HD 8670D Dual,
Radeon R9 M265X,
Radeon. HD 7730M,
Intel Iris Pro 6100,
Intel HD Graphics 620,
Radeon R9 M280X,
Radeon R7 240 + HD 8570D Dual,
GRID M10-0Q,
Radeon R7 A8-8650,
Radeon R7 M445,744
GRID K220Q,
GRID M6-0B,
Radeon R7 A10-7860K,
Radeon 6750M,
GeForce GT 640M,
Intel Iris 6100,
Radeon HD 4770,59.99
Barco MXRT 7400,99
Radeon HD 8550G + 7600M Dual,
Barco MXRT 2600,199
Radeon R7 + R5 Dual,
Radeon R7 PRO A10-8770E,
